05.06.98-exp-1	هی … اسباب‌بازی
05.06.98-exp-10	بسیار خب . وقت لالاست ، برین بخوابین . خواب‌های خوب ببینین !
05.06.98-exp-100	دوباره
05.06.98-exp-101	صبر کن . یه بار دیگه .
05.06.98-exp-102	فقط یه بار
05.06.98-exp-103	من تصادفی چشمام رو بسته بودم
05.06.98-exp-104	آره ! زدمش . معرکه بود .
05.06.98-exp-105	کافیه . شما باختید .
05.06.98-exp-106	خب ، این دیگه چی بود ؟
05.06.98-exp-107	اونو زد . با چشم‌های خودم دیدم .
05.06.98-exp-108	رفیق ، بذار یه چیزی رو توضیح بدم
05.06.98-exp-109	اون سفینه‌ی کوچولو رو می‌بینی ؟ می‌بینی که هنوز سر جاشه ؟
05.06.98-exp-11	فقط محض اطلاعت
05.06.98-exp-110	می‌دونی معنی‌اش چیه ، پروفسور ؟
05.06.98-exp-111	معنی‌اش اینه که شما ، اسب تک‌شاخ رو برنده نشدین
05.06.98-exp-112	یکی کشتی‌هاش غرق شده
05.06.98-exp-113	شاید یه دفعه‌ی دیگه
05.06.98-exp-114	بسیار خب ، نوبت منه
05.06.98-exp-115	داغون شد
05.06.98-exp-116	خیلی پشمالوئه ، آره
05.06.98-exp-117	معرکه بود
05.06.98-exp-118	تو همه‌ش رو ترکوندی
05.06.98-exp-119	بیاین بریم یه بازی دیگه بکنیم
05.06.98-exp-12	تو هیچ‌وقت جای پدر ما رو نمی‌گیری
05.06.98-exp-120	گورو اشکال نداره یه سؤالی ازت بپرسم ؟
05.06.98-exp-121	خب دخترها ، برین بازی کنین
05.06.98-exp-122	! من اسلحه‌ی کوچک‌کننده رو به دست آوردم
05.06.98-exp-123	پشمک
05.06.98-exp-125	نباید حواس‌مون پرت چیزهای دیگه باشه
05.06.98-exp-126	با آقای پرکینز تماس بگیر
05.06.98-exp-127	ببخشید که مزاحم‌تون شدم
05.06.98-exp-128	اما فکر کردم که شما می‌خواین این رو ببینین
05.06.98-exp-129	چی ؟
05.06.98-exp-13	فکر کنم اصلاً برام مهم نیست
05.06.98-exp-130	آفرین ! تحت تأثیر قرار گرفتم
05.06.98-exp-131	بقیه‌ی نقشه مثل آب خوردنه
05.06.98-exp-132	من به ماه سفر می‌کنم . من ماه رو کوچیک می‌کنم . ماه رو برمی‌دارم .
05.06.98-exp-133	گلاب به روتون ، می‌رم مستراح
05.06.98-exp-134	می‌شه یه لحظه … منو ببخشید
05.06.98-exp-135	بهتون گفته بودم به وسایلم دست نزنین
05.06.98-exp-136	بهتون گفته بودم ، هزار بار بهتون گفته بودم
05.06.98-exp-137	« می‌شه » « کش‌لقمه » « سفارش بدی ؟ »
05.06.98-exp-138	کش‌لقمه ؟ شما که تازه ناهار خوردین
05.06.98-exp-139	حالا نه ، برای شام
05.06.98-exp-14	این تخت‌خواب‌ها رو از بمب ساختی ؟
05.06.98-exp-140	حالا هرچی . برگردین همون‌جا
05.06.98-exp-141	می‌شه کش‌لقمه‌ی با نون اضافه بگیریم ؟
05.06.98-exp-142	نون اضافه
05.06.98-exp-143	شکم‌تون رو پر از نون می‌کنم
05.06.98-exp-144	تو خیلی بامزه‌ای
05.06.98-exp-145	دیگه از اون اتاق بیرون نمی‌آین
05.06.98-exp-146	معذرت می‌خوام . کجا بودیم ؟
05.06.98-exp-147	رفته بودی مستراح ؟
05.06.98-exp-148	نه ، نه . معذرت می‌خوام ، فقط می‌خواستم یه کم بخندیم
05.06.98-exp-149	می‌دونم چه‌قدر دوست داری بخندی
05.06.98-exp-15	آره اما از بمب‌های خیلی قدیمیه و هرلحظه ممکنه منفجر بشن
05.06.98-exp-150	توی دلت بخندی . داشتم می‌گفتم
05.06.98-exp-151	به نظر نمی‌آد تمرکز داشته باشی
05.06.98-exp-152	باور کنین که تمرکز دارم
05.06.98-exp-153	این یارو خیلی گنده‌ست
05.06.98-exp-154	ما توی تلویزیون هستیم ؟ اون‌ها چی هستن ؟ بچه‌ن ؟
05.06.98-exp-155	چی‌کار دارین می‌کنین ؟ از این‌جا برین بیرون
05.06.98-exp-156	اشعه‌ی منجمدکننده
05.06.98-exp-157	همون‌طور که می‌گفتم …
05.06.98-exp-158	لازم نیست ادامه بدی ، به اندازه‌ی کافی دیدم .
05.06.98-exp-159	خب ، نقشه‌ی من ، نقشه‌ی معرکه‌ای بود
05.06.98-exp-16	پس سعی کنین زیاد تکون نخورین
05.06.98-exp-160	از همه‌چیز نقشه‌هات خوشم اومد ، به‌جز یک چیزش
05.06.98-exp-161	نگاه کن ننه ! من عکس خودم رو وقتی روی ماه فرود اومدم ، نقاشی کردم
05.06.98-exp-162	نگاه کن ننه ! من نمونه‌ی آزمایشی سفینه‌ی فضایی‌ام رو از ماکارونی ساختم
05.06.98-exp-163	نگاه کن ننه ! من نمونه‌ی واقعی سفینه‌ام رو بر اساس نمونه‌ی آزمایشی ماکارونی ساختم
05.06.98-exp-164	نمی‌فهمم
05.06.98-exp-165	با واقعیت روبه‌رو شو
05.06.98-exp-166	تو مدت‌هاست که مشغول این کار هستی و موفقیت زیادی نداشتی
05.06.98-exp-167	ما پول‌مون و اعتمادمون رو روی یه دزد جوون‌تر سرمایه‌گذاری می‌کنیم
05.06.98-exp-168	اما من …
05.06.98-exp-169	همه‌چیز تموم شد
05.06.98-exp-17	معرکه‌ست
05.06.98-exp-170	می‌دونم شایعاتی پخش شده که دیگه بانک به ما وام نمی‌ده
05.06.98-exp-171	من این‌جا هستم تا در مورد اون شایعات توضیح بدم
05.06.98-exp-172	اون‌ها حقیقت دارن
05.06.98-exp-173	در مورد پول
